x,y,objectid,globalid,fireoccurid,cn,revdate,firename,complexname,fireyear,uniqfireid,sofirenum,localfirenum,securityid,discoverydatetime,sizeclass,totalacres,statcause,comments,datasource,fireoutdatetime,owneragency,unitidowner,protectionagency,unitidprotect,latdd83,longdd83,firetypecategory,pointtype,perimexists,firerptqc,dbsourceid,dbsourcedate,accuracy,shape
-106.42777778,39.84611111,231055009,{540C6E70-51FD-4CCC-A1B3-8A6C914E34A3},2B1B9A1B-7828-4688-A14C-4BD7CEE62226,,2023/03/29 11:10:56+00,Elliott Ridge,,2016,2016-COWRF-000679,039,679,0215,2016/10/22 00:00:01+00,A,0.25,Camping, ,24,2017/02/06 11:54:01+00,USFS,COWRF,USFS,COWRF,39.84611,-106.42778,WF,General,N,Yes,0215,2024/09/24 04:01:09+00,24000,
-107.93555556,39.37277778,231055010,{ACE77CF8-1281-4A81-BE3D-4D55669CB134},A2454D64-EBB7-4895-81BC-9782B3D1391E,,2023/03/29 11:10:59+00,Battlement Mesa Reservoir,,2016,2016-COWRF-000452,018,452,0215,2016/08/07 00:00:01+00,A,0.1,Camping, ,24,2016/08/12 11:20:01+00,USFS,COWRF,USFS,COWRF,39.37278,-107.93556,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.72333333,39.11833333,231055011,{D8EA7329-A0D0-4B64-A6F2-7A7FD86A3505},,,2023/03/29 11:10:56+00,Difficult,,1997,1997-COWRF-000 ,013, ,0215,1997/07/26 00:00:01+00,A,0.1,Lightning, ,24,1997/07/28 16:57:01+00,USFS,COWRF,USFS,COWRF,39.11833,-106.72333,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.59,39.65666667,231055012,{67A72390-0E2B-411E-9CDE-6657101645E4},,,2023/03/29 11:10:56+00, ,,1993,1993-COWRF-000 ,022, ,0215,1993/08/23 00:00:01+00,A,0.1,Undetermined, ,24,1993/08/23 23:00:01+00,USFS,COWRF,USFS,COWRF,39.65667,-106.59,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-107.317310669,40.019286292,231055013,{DFFF8D93-DE89-451C-830C-1F65FD550B3D},558D5D61-AB04-4AC3-8143-2E0EBE7CB506,,2024/03/27 14:21:08+00,Paradise,,2020,2020-COWRF-000504,,504,0215,2020/10/14 13:16:01+00,A,0.1,Camping,,24,2020/11/12 14:30:01+00,USFS,COWRF,USFS,COWRF,40.01929,-107.31731,WF,General,Y,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.51833333,39.58833333,231055014,{B7FC6338-897C-44AC-BD8B-7D1EB63EC7D8},,,2023/03/29 11:10:56+00,B.C.,,1994,1994-COWRF-000 ,039, ,0215,1994/07/29 00:00:01+00,A,0.1,Lightning, ,24,1994/07/29 18:00:01+00,USFS,COWRF,USFS,COWRF,39.58833,-106.51833,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.53638889,39.73638889,231055015,{A2C4BEA0-AD73-4E25-B5D9-9FF176FC79AB},,,2023/03/29 11:10:56+00,Meadow Creek,,2003,2003-COWRF-000 ,037, ,0215,2003/10/20 00:00:01+00,A,0.1,Camping, ,24,2003/10/23 09:03:01+00,USFS,COWRF,USFS,COWRF,39.73639,-106.53639,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.32388889,39.48888889,231055016,{7C6B0F21-8CF6-41AD-81EC-1012DD636DB8},,,2023/03/29 11:10:56+00,Window Rock,,2012,2012-COWRF-000339,033,339,0215,2012/07/05 00:00:01+00,A,0.1,Lightning, ,24,2012/07/23 14:00:01+00,USFS,COWRF,USFS,COWRF,39.48889,-106.32389,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.60833333,39.42666667,231055017,{B6D93320-A147-4D29-A016-1558E4A78CE8},,,2023/03/29 11:10:59+00,Eagle Lake,,1996,1996-COWRF-000 ,013, ,0215,1996/08/12 00:00:01+00,A,0.1,Camping, ,24,1996/08/14 13:00:01+00,USFS,COWRF,USFS,COWRF,39.42667,-106.60833,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-107.63333333,39.68333333,231055018,{9B09D0B6-3415-4B0A-B476-A2BE8F34E8DE},,,2023/03/29 11:10:56+00, ,,1986,1986-COWRF-000 ,018, ,0215,1986/09/09 00:00:01+00,A,0.1,Lightning, ,24,1986/09/09 19:01:01+00,USFS,COWRF,USFS,COWRF,39.68333,-107.63333,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.00166667,39.625,231055019,{EA8DB0CF-AE16-49BF-9B38-AD8EF9A9E93C},,,2023/03/29 11:10:56+00, ,,1987,1987-COWRF-000 ,033, ,0215,1987/10/10 00:00:01+00,A,0.1,Smoking, ,24,1987/10/10 17:30:01+00,USFS,COWRF,USFS,COWRF,39.625,-106.00167,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.66805556,39.4375,231055020,{CEAD2598-4310-43EF-A3E8-E05136A57F3F},,,2023/03/29 11:10:56+00,Spine,,2010,2010-COWRF-000061,059,061,0215,2010/05/29 00:00:01+00,A,0.1,Camping, ,24,2010/05/29 19:49:01+00,USFS,COWRF,USFS,COWRF,39.4375,-106.66806,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.06666667,39.55333333,231055021,{846E157E-2B9A-4CD9-B255-4FADD7983AF5},,,2023/03/29 11:10:56+00,Rainbow Lake,,2000,2000-COWRF-000 ,024, ,0215,2000/08/15 00:00:01+00,A,0.1,Camping, ,24,2000/08/15 12:30:01+00,USFS,COWRF,USFS,COWRF,39.55333,-106.06667,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-105.92333333,39.62055556,231055022,{44CC058C-6BA6-464B-A2F8-FFCCB02B7A1E},,,2023/03/29 11:10:56+00,Porcupine Gulch,,2012,2012-COWRF-000132,003,132,0215,2012/05/26 00:00:01+00,A,0.25,Undetermined, ,24,2012/05/30 14:45:01+00,USFS,COWRF,USFS,COWRF,39.62056,-105.92333,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-105.92361111,39.61888889,231055023,{4DD5088B-B7D8-4A49-8A9A-44251C4957A0},,,2023/03/29 11:10:56+00,North Fork,,2004,2004-COWRF-000 ,018, ,0215,2004/07/13 00:00:01+00,A,0.1,Camping, ,24,2004/07/13 19:20:01+00,USFS,COWRF,USFS,COWRF,39.61889,-105.92361,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-107.07444444,39.28138889,231055024,{6456472A-E5CB-4A70-AEAB-DCF7D6E14BE5},,,2023/03/29 11:10:56+00,East Sopris,,2009,2009-COWRF-000614,041,614,0215,2009/10/17 00:00:01+00,A,0.1,Camping, ,24,2009/10/17 20:09:01+00,USFS,COWRF,USFS,COWRF,39.28139,-107.07444,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-107.68833333,40.07166667,231055025,{8B40D9C4-4938-423C-925F-3F8C6077B357},,,2023/03/29 11:10:56+00, ,,1989,1989-COWRF-000 ,008, ,0215,1989/06/29 00:00:01+00,B,4,Lightning, ,24,1989/07/02 18:00:01+00,USFS,COWRF,USFS,COWRF,40.07167,-107.68833,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.02777778,39.5075,231055026,{B0FC9DDC-326C-4F1E-BCA5-39077B1FD458},,,2023/03/29 11:10:56+00,Gold Run,,2009,2009-COWRF-000113,005,113,0215,2009/06/30 00:00:01+00,A,0.1,Camping, ,24,2009/06/30 17:05:01+00,USFS,COWRF,USFS,COWRF,39.5075,-106.02778,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-107.25,39.71666667,231055027,{EAA6B047-D2EF-42F4-A2A6-3D6CD6FA9254},,,2023/03/29 11:10:56+00, ,,1992,1992-COWRF-000 ,033, ,0215,1992/09/07 00:00:01+00,A,0.1,Camping, ,24,1992/09/10 18:00:01+00,USFS,COWRF,USFS,COWRF,39.71667,-107.25,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-107.19777778,39.26555556,231055028,{DD1036DE-263F-43D8-9BBD-441C3EF0F137},,,2023/03/29 11:10:56+00,Bulldog,,2003,2003-COWRF-000 ,017, ,0215,2003/06/17 00:00:01+00,A,0.1,Lightning, ,24,2003/07/16 11:15:01+00,USFS,COWRF,USFS,COWRF,39.26556,-107.19778,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
-106.16888889,39.83055556,231055029,{C5677FE0-4FC9-4E66-B544-9A147E935E5A},,,2023/03/29 11:10:56+00,16 Degrees,,2008,2008-COWRF-000468,017,468,0215,2008/11/04 00:00:01+00,B,0.5,Undetermined,"Changes were made on this report in 2010, due to not filling out all the fields in 2009.",24,2008/11/07 17:00:01+00,USFS,COWRF,USFS,COWRF,39.83056,-106.16889,WF,General,N,Yes,0215,2024/09/24 04:01:15+00,24000,
